sender,receiver,edge_type
ETHEjournal,veletsianos,retweet
michaelmgrant,steph_moore,retweet
michaelmgrant,nicolapallitt,retweet
michaelmgrant,ISLT_FSU,retweet
michaelmgrant,KuiXiePHD,retweet
michaelmgrant,DrTerriC,retweet
michaelmgrant,LearnEngage,retweet
michaelmgrant,AECT,retweet
michaelmgrant,dctrcurry,retweet
michaelmgrant,matt_m_schmidt,retweet
michaelmgrant,FredWBaker,retweet
michaelmgrant,AnnaRoseLeach,retweet
michaelmgrant,nicolapallitt,retweet
michaelmgrant,JCHEResearch,retweet
michaelmgrant,nicolapallitt,retweet
michaelmgrant,jeroen69,retweet
michaelmgrant,hodgesc,retweet
michaelmgrant,aectclt,retweet
michaelmgrant,Happy_Tao,retweet
michaelmgrant,ifenthaler,retweet
michaelmgrant,ZhenXu0905,retweet
michaelmgrant,jeroen69,retweet
michaelmgrant,gsa_aect,retweet
michaelmgrant,DKSch,retweet
michaelmgrant,valarywithawhy,retweet
michaelmgrant,rebeccamclark87,retweet
michaelmgrant,dctrcurry,retweet
michaelmgrant,gsa_aect,retweet
michaelmgrant,gsa_aect,retweet
michaelmgrant,TAmankwatia,retweet
michaelmgrant,gsa_aect,retweet
michaelmgrant,ruitammyhuang,retweet
michaelmgrant,art_brownlow,retweet
michaelmgrant,FredWBaker,retweet
michaelmgrant,dctrcurry,retweet
michaelmgrant,MuratTurkEd,retweet
michaelmgrant,gsa_aect,retweet
michaelmgrant,tkolski716,retweet
michaelmgrant,hodgesc,retweet
michaelmgrant,dctrcurry,retweet
michaelmgrant,JenM,retweet
michaelmgrant,veletsianos,retweet
michaelmgrant,dctrcurry,retweet
michaelmgrant,AECT,retweet
michaelmgrant,dctrcurry,retweet
michaelmgrant,MuratTurkEd,retweet
michaelmgrant,AectInternship,retweet
michaelmgrant,OlgaCataliina,retweet
michaelmgrant,jcmadison2007,retweet
michaelmgrant,tadousay,retweet
michaelmgrant,kolorkid,retweet
michaelmgrant,dctrcurry,retweet
michaelmgrant,rmreese1,retweet
michaelmgrant,aectddl,retweet
michaelmgrant,gsa_aect,retweet
michaelmgrant,matt_m_schmidt,retweet
michaelmgrant,koubenec,retweet
michaelmgrant,dctrcurry,retweet
michaelmgrant,dctrcurry,retweet
michaelmgrant,gsa_aect,retweet
michaelmgrant,koubenec,retweet
michaelmgrant,SmithShannonM,retweet
michaelmgrant,MuratTurkEd,retweet
michaelmgrant,AmyLomellini_ID,retweet
michaelmgrant,AECT,retweet
aectclt,LiuJh_Christie,retweet
aectclt,nicolapallitt,retweet
aectclt,michaelmgrant,retweet
MargyMacLibrary,veletsianos,retweet
ifyouaskbetty,caranorth11,retweet
DrFrankGomez,AECT,retweet
shonn2nd,aectrtd,retweet
aectddl,AECT,retweet
aectddl,aectddl,retweet
aectddl,dctrcurry,retweet
aectddl,rmreese1,retweet
aectddl,AECT,retweet
RitaFennelly,veletsianos,retweet
RitaFennelly,kariword,retweet
CherylHW,AECT,retweet
clement_abai,gsa_aect,retweet
markoteras,veletsianos,retweet
pattishank,caranorth11,retweet
SuzanKoseoglu,veletsianos,retweet
SuzanKoseoglu,nangur1,retweet
SuzanKoseoglu,jeroen69,retweet
MarkJ_ohnson,veletsianos,retweet
MarkJ_ohnson,ISLT_FSU,retweet
